Call Type,Call Date,Watch Date,Received DtTm,Entry DtTm,Dispatch DtTm,Response DtTm,On Scene DtTm,Transport DtTm,Hospital DtTm,Call Final Disposition,Available DtTm,Address,City,Zipcode of Incident,Battalion,Station Area,Box,Original Priority,Priority,Final Priority,ALS Unit,Call Type Group,Number of Alarms,Unit Type,Unit sequence in call dispatch,Fire Prevention District,Supervisor District,Neighborhooods - Analysis Boundaries
Structure Fire,11/29/2018,11/29/2018,11/29/2018 07:41:42 PM,11/29/2018 07:42:27 PM,11/29/2018 07:42:42 PM,11/29/2018 07:43:48 PM,11/29/2018 07:47:57 PM,,,Fire,11/29/2018 08:35:54 PM,3000 Block of 23RD AV,San Francisco,94132,B08,19,8734,3,3,3,false,Fire,1,TRUCK,4,8,7,Sunset/Parkside
Structure Fire,11/29/2018,11/29/2018,11/29/2018 07:41:42 PM,11/29/2018 07:42:27 PM,11/29/2018 07:42:42 PM,11/29/2018 07:44:14 PM,11/29/2018 07:53:03 PM,,,Fire,11/29/2018 08:41:44 PM,3000 Block of 23RD AV,San Francisco,94132,B08,19,8734,3,3,3,false,Fire,1,TRUCK,9,8,7,Sunset/Parkside
Structure Fire,11/29/2018,11/29/2018,11/29/2018 08:00:41 PM,11/29/2018 08:01:46 PM,11/29/2018 08:02:04 PM,11/29/2018 08:02:09 PM,11/29/2018 08:10:15 PM,11/29/2018 09:05:56 PM,11/29/2018 09:11:07 PM,Code 2 Transport,11/29/2018 10:04:08 PM,4400 Block of 19TH ST,San Francisco,94114,B06,24,5441,3,3,3,true,Fire,1,MEDIC,10,6,8,Castro/Upper Market
Structure Fire,11/29/2018,11/29/2018,11/29/2018 08:00:41 PM,11/29/2018 08:01:46 PM,11/29/2018 08:53:24 PM,11/29/2018 08:53:40 PM,11/29/2018 09:04:35 PM,,,Code 2 Transport,11/29/2018 10:25:10 PM,4400 Block of 19TH ST,San Francisco,94114,B06,24,5441,3,3,3,true,Fire,1,MEDIC,16,6,8,Castro/Upper Market
Structure Fire,11/29/2018,11/29/2018,11/29/2018 08:00:41 PM,11/29/2018 08:01:46 PM,11/29/2018 08:19:39 PM,11/29/2018 08:20:08 PM,11/29/2018 08:29:45 PM,,,Code 2 Transport,11/29/2018 10:04:43 PM,4400 Block of 19TH ST,San Francisco,94114,B06,24,5441,3,3,3,false,Fire,1,INVESTIGATION,15,6,8,Castro/Upper Market
Structure Fire,11/29/2018,11/29/2018,11/29/2018 08:00:41 PM,11/29/2018 08:01:46 PM,11/29/2018 08:02:04 PM,11/29/2018 08:03:05 PM,11/29/2018 08:06:52 PM,,,Code 2 Transport,11/29/2018 09:23:51 PM,4400 Block of 19TH ST,San Francisco,94114,B06,24,5441,3,3,3,false,Fire,1,CHIEF,4,6,8,Castro/Upper Market
Structure Fire,11/29/2018,11/29/2018,11/29/2018 08:00:41 PM,11/29/2018 08:01:46 PM,11/29/2018 08:02:04 PM,11/29/2018 08:04:03 PM,11/29/2018 08:07:00 PM,,,Code 2 Transport,11/29/2018 10:20:59 PM,4400 Block of 19TH ST,San Francisco,94114,B06,24,5441,3,3,3,false,Fire,1,CHIEF,5,6,8,Castro/Upper Market
Structure Fire,11/29/2018,11/29/2018,11/29/2018 08:00:41 PM,11/29/2018 08:01:46 PM,11/29/2018 08:02:04 PM,11/29/2018 08:03:10 PM,,,,Code 2 Transport,11/29/2018 08:04:00 PM,4400 Block of 19TH ST,San Francisco,94114,B06,24,5441,3,3,3,false,Fire,1,CHIEF,18,6,8,Castro/Upper Market
Structure Fire,11/29/2018,11/29/2018,11/29/2018 08:00:41 PM,11/29/2018 08:01:46 PM,11/29/2018 08:03:27 PM,11/29/2018 08:10:02 PM,11/29/2018 08:10:02 PM,,,Code 2 Transport,11/29/2018 09:23:48 PM,4400 Block of 19TH ST,San Francisco,94114,B06,24,5441,3,3,3,false,Fire,1,CHIEF,9,6,8,Castro/Upper Market
Structure Fire,11/29/2018,11/29/2018,11/29/2018 08:00:41 PM,11/29/2018 08:01:46 PM,11/29/2018 08:02:04 PM,11/29/2018 08:02:39 PM,11/29/2018 08:04:31 PM,,,Code 2 Transport,11/29/2018 10:25:42 PM,4400 Block of 19TH ST,San Francisco,94114,B06,24,5441,3,3,3,false,Fire,1,ENGINE,1,6,8,Castro/Upper Market
Structure Fire,11/29/2018,11/29/2018,11/29/2018 08:00:41 PM,11/29/2018 08:01:46 PM,11/29/2018 08:02:04 PM,11/29/2018 08:02:40 PM,11/29/2018 08:15:07 PM,,,Code 2 Transport,11/29/2018 10:25:48 PM,4400 Block of 19TH ST,San Francisco,94114,B06,24,5441,3,3,3,true,Fire,1,ENGINE,13,6,8,Castro/Upper Market
Structure Fire,11/29/2018,11/29/2018,11/29/2018 08:00:41 PM,11/29/2018 08:01:46 PM,11/29/2018 08:08:33 PM,11/29/2018 08:08:48 PM,11/29/2018 08:09:16 PM,,,Code 2 Transport,11/29/2018 08:25:30 PM,4400 Block of 19TH ST,San Francisco,94114,B06,24,5441,3,3,3,true,Fire,1,ENGINE,8,6,8,Castro/Upper Market
Structure Fire,11/29/2018,11/29/2018,11/29/2018 08:00:41 PM,11/29/2018 08:01:46 PM,11/29/2018 08:06:43 PM,11/29/2018 08:06:49 PM,11/29/2018 08:07:32 PM,,,Code 2 Transport,11/29/2018 08:35:05 PM,4400 Block of 19TH ST,San Francisco,94114,B06,24,5441,3,3,3,true,Fire,1,ENGINE,6,6,8,Castro/Upper Market
Structure Fire,11/29/2018,11/29/2018,11/29/2018 08:00:41 PM,11/29/2018 08:01:46 PM,11/29/2018 08:02:04 PM,11/29/2018 08:03:28 PM,11/29/2018 08:04:59 PM,,,Code 2 Transport,11/29/2018 11:06:03 PM,4400 Block of 19TH ST,San Francisco,94114,B06,24,5441,3,3,3,false,Fire,1,ENGINE,2,6,8,Castro/Upper Market
Structure Fire,11/29/2018,11/29/2018,11/29/2018 08:00:41 PM,11/29/2018 08:01:46 PM,11/29/2018 08:06:43 PM,11/29/2018 08:06:46 PM,11/29/2018 08:10:55 PM,,,Code 2 Transport,11/29/2018 08:46:39 PM,4400 Block of 19TH ST,San Francisco,94114,B06,24,5441,3,3,3,true,Fire,1,RESCUE CAPTAIN,11,6,8,Castro/Upper Market
Structure Fire,11/29/2018,11/29/2018,11/29/2018 08:00:41 PM,11/29/2018 08:01:46 PM,11/29/2018 08:02:04 PM,11/29/2018 08:03:26 PM,,,,Code 2 Transport,11/29/2018 08:06:03 PM,4400 Block of 19TH ST,San Francisco,94114,B06,24,5441,3,3,3,false,Fire,1,RESCUE SQUAD,17,6,8,Castro/Upper Market
Structure Fire,11/29/2018,11/29/2018,11/29/2018 08:00:41 PM,11/29/2018 08:01:46 PM,11/29/2018 08:05:17 PM,11/29/2018 08:11:56 PM,11/29/2018 08:11:56 PM,,,Code 2 Transport,11/29/2018 08:31:13 PM,4400 Block of 19TH ST,San Francisco,94114,B06,24,5441,3,3,3,false,Fire,1,RESCUE SQUAD,12,6,8,Castro/Upper Market
Structure Fire,11/29/2018,11/29/2018,11/29/2018 08:00:41 PM,11/29/2018 08:01:46 PM,11/29/2018 08:02:04 PM,11/29/2018 08:03:03 PM,11/29/2018 08:05:01 PM,,,Code 2 Transport,11/29/2018 10:25:15 PM,4400 Block of 19TH ST,San Francisco,94114,B06,24,5441,3,3,3,false,Fire,1,TRUCK,3,6,8,Castro/Upper Market
Structure Fire,11/29/2018,11/29/2018,11/29/2018 08:00:41 PM,11/29/2018 08:01:46 PM,11/29/2018 08:08:33 PM,11/29/2018 08:10:08 PM,11/29/2018 08:17:49 PM,,,Code 2 Transport,11/29/2018 08:24:57 PM,4400 Block of 19TH ST,San Francisco,94114,B06,24,5441,3,3,3,false,Fire,1,TRUCK,14,6,8,Castro/Upper Market
Structure Fire,11/29/2018,11/29/2018,11/29/2018 08:00:41 PM,11/29/2018 08:01:46 PM,11/29/2018 08:02:04 PM,11/29/2018 08:05:06 PM,11/29/2018 08:08:22 PM,,,Code 2 Transport,11/29/2018 10:22:03 PM,4400 Block of 19TH ST,San Francisco,94114,B06,24,5441,3,3,3,false,Fire,1,TRUCK,7,6,8,Castro/Upper Market
Vehicle Fire,11/29/2018,11/29/2018,11/29/2018 11:22:20 PM,11/29/2018 11:23:15 PM,11/29/2018 11:23:55 PM,11/29/2018 11:25:39 PM,11/29/2018 11:28:38 PM,,,Fire,11/30/2018 12:01:00 AM,MARIN ST/ILLINOIS ST,San Francisco,94124,B10,25,2641,3,3,3,true,Fire,1,ENGINE,1,10,10,Bayview Hunters Point
Vehicle Fire,11/29/2018,11/29/2018,11/29/2018 11:22:20 PM,11/29/2018 11:23:15 PM,11/29/2018 11:23:55 PM,11/29/2018 11:26:22 PM,11/29/2018 11:29:41 PM,,,Fire,11/29/2018 11:40:20 PM,MARIN ST/ILLINOIS ST,San Francisco,94124,B10,25,2641,3,3,3,false,Fire,1,TRUCK,2,10,10,Bayview Hunters Point
Structure Fire,11/30/2018,11/30/2018,11/30/2018 02:49:17 PM,11/30/2018 02:49:39 PM,11/30/2018 02:50:03 PM,11/30/2018 02:50:37 PM,11/30/2018 02:57:41 PM,,,Fire,11/30/2018 05:34:08 PM,1500 Block of 32ND AV,San Francisco,94122,B08,18,7535,3,3,3,false,Fire,1,TRUCK,4,8,4,Sunset/Parkside
Outside Fire,02/19/2018,02/18/2018,02/19/2018 03:25:08 AM,02/19/2018 03:26:35 AM,02/19/2018 03:26:48 AM,02/19/2018 03:29:01 AM,02/19/2018 03:32:07 AM,,,Fire,02/19/2018 03:36:41 AM,CHARLES J BRENHAM ST/MARKET ST,San Francisco,94103,B03,36,1455,3,3,3,true,Fire,1,ENGINE,1,2,6,South of Market
Vehicle Fire,12/02/2018,12/02/2018,12/02/2018 11:17:15 AM,12/02/2018 11:19:18 AM,12/02/2018 11:19:58 AM,12/02/2018 11:21:16 AM,,,,Fire,12/02/2018 11:22:59 AM,0 Block of DR CARLTON B GOODLETT PL,San Francisco,94102,B02,36,0381,3,3,3,true,Fire,1,ENGINE,3,2,6,Tenderloin
Outside Fire,02/20/2018,02/20/2018,02/20/2018 06:10:24 PM,02/20/2018 06:12:49 PM,02/20/2018 06:12:58 PM,02/20/2018 06:13:18 PM,02/20/2018 06:18:07 PM,,,Fire,02/20/2018 06:18:09 PM,100 Block of RUSS ST,San Francisco,94103,B03,01,2252,3,3,3,true,Fire,1,ENGINE,1,3,6,South of Market
Outside Fire,02/17/2018,02/17/2018,02/17/2018 12:06:42 PM,02/17/2018 12:08:32 PM,02/17/2018 12:09:47 PM,02/17/2018 12:10:44 PM,02/17/2018 12:12:16 PM,,,Fire,02/17/2018 12:16:49 PM,600 Block of OFARRELL ST,San Francisco,94109,B04,03,1544,3,3,3,true,Fire,1,ENGINE,1,2,6,Tenderloin
Outside Fire,02/17/2018,02/17/2018,02/17/2018 03:08:36 PM,02/17/2018 03:10:05 PM,02/17/2018 03:10:09 PM,02/17/2018 03:11:50 PM,,,,Fire,02/17/2018 03:13:54 PM,CARROLL AV/JENNINGS ST,San Francisco,94124,B10,17,6615,3,3,3,true,Fire,1,ENGINE,1,10,10,Bayview Hunters Point
Structure Fire,02/17/2018,02/17/2018,02/17/2018 04:23:37 PM,02/17/2018 04:24:03 PM,02/17/2018 04:24:18 PM,02/17/2018 04:24:25 PM,02/17/2018 04:34:08 PM,,,Fire,02/17/2018 04:58:09 PM,2700 Block of FOLSOM ST,San Francisco,94110,B06,07,5526,3,3,3,true,Fire,1,MEDIC,10,6,9,Mission
Structure Fire,02/17/2018,02/17/2018,02/17/2018 04:23:37 PM,02/17/2018 04:24:03 PM,02/17/2018 04:24:18 PM,02/17/2018 04:26:54 PM,02/17/2018 04:26:58 PM,,,Fire,02/17/2018 05:22:24 PM,2700 Block of FOLSOM ST,San Francisco,94110,B06,07,5526,3,3,3,false,Fire,1,CHIEF,4,6,9,Mission
Structure Fire,02/17/2018,02/17/2018,02/17/2018 04:23:37 PM,02/17/2018 04:24:03 PM,02/17/2018 04:24:18 PM,02/17/2018 04:25:41 PM,02/17/2018 04:31:52 PM,,,Fire,02/17/2018 04:44:07 PM,2700 Block of FOLSOM ST,San Francisco,94110,B06,07,5526,3,3,3,false,Fire,1,CHIEF,8,6,9,Mission
Structure Fire,02/17/2018,02/17/2018,02/17/2018 04:23:37 PM,02/17/2018 04:24:03 PM,02/17/2018 04:24:18 PM,02/17/2018 04:24:51 PM,02/17/2018 04:27:01 PM,,,Fire,02/17/2018 04:55:18 PM,2700 Block of FOLSOM ST,San Francisco,94110,B06,07,5526,3,3,3,false,Fire,1,CHIEF,5,6,9,Mission
Structure Fire,02/17/2018,02/17/2018,02/17/2018 04:23:37 PM,02/17/2018 04:24:03 PM,02/17/2018 04:24:18 PM,02/17/2018 04:26:48 PM,02/17/2018 04:26:48 PM,,,Fire,02/17/2018 05:14:23 PM,2700 Block of FOLSOM ST,San Francisco,94110,B06,07,5526,3,3,3,true,Fire,1,ENGINE,3,6,9,Mission
Structure Fire,02/17/2018,02/17/2018,02/17/2018 04:23:37 PM,02/17/2018 04:24:03 PM,02/17/2018 04:24:18 PM,02/17/2018 04:25:38 PM,02/17/2018 04:28:24 PM,,,Fire,02/17/2018 04:53:50 PM,2700 Block of FOLSOM ST,San Francisco,94110,B06,07,5526,3,3,3,true,Fire,1,ENGINE,7,6,9,Mission
Structure Fire,02/17/2018,02/17/2018,02/17/2018 04:23:37 PM,02/17/2018 04:24:03 PM,02/17/2018 04:24:18 PM,02/17/2018 04:24:45 PM,02/17/2018 04:28:08 PM,,,Fire,02/17/2018 05:04:12 PM,2700 Block of FOLSOM ST,San Francisco,94110,B06,07,5526,3,3,3,true,Fire,1,ENGINE,6,6,9,Mission
Structure Fire,02/17/2018,02/17/2018,02/17/2018 04:23:37 PM,02/17/2018 04:24:03 PM,02/17/2018 04:29:01 PM,02/17/2018 04:30:24 PM,02/17/2018 04:35:23 PM,,,Fire,02/17/2018 04:46:06 PM,2700 Block of FOLSOM ST,San Francisco,94110,B06,07,5526,3,3,3,true,Fire,1,RESCUE CAPTAIN,11,6,9,Mission
Structure Fire,02/17/2018,02/17/2018,02/17/2018 04:23:37 PM,02/17/2018 04:24:03 PM,02/17/2018 04:24:18 PM,02/17/2018 04:25:17 PM,02/17/2018 04:26:25 PM,,,Fire,02/17/2018 04:40:51 PM,2700 Block of FOLSOM ST,San Francisco,94110,B06,07,5526,3,3,3,false,Fire,1,RESCUE SQUAD,1,6,9,Mission
Structure Fire,02/17/2018,02/17/2018,02/17/2018 04:23:37 PM,02/17/2018 04:24:03 PM,02/17/2018 04:24:18 PM,02/17/2018 04:25:44 PM,02/17/2018 04:26:36 PM,,,Fire,02/17/2018 05:05:49 PM,2700 Block of FOLSOM ST,San Francisco,94110,B06,07,5526,3,3,3,false,Fire,1,TRUCK,2,6,9,Mission
Structure Fire,02/17/2018,02/17/2018,02/17/2018 04:23:37 PM,02/17/2018 04:24:03 PM,02/17/2018 04:24:18 PM,02/17/2018 04:32:18 PM,02/17/2018 04:32:18 PM,,,Fire,02/17/2018 05:12:39 PM,2700 Block of FOLSOM ST,San Francisco,94110,B06,07,5526,3,3,3,false,Fire,1,TRUCK,9,6,9,Mission
Vehicle Fire,02/17/2018,02/17/2018,02/17/2018 04:51:07 PM,02/17/2018 04:51:07 PM,02/17/2018 04:57:05 PM,02/17/2018 04:57:30 PM,02/17/2018 05:06:01 PM,02/17/2018 05:34:41 PM,02/17/2018 06:07:27 PM,Code 2 Transport,02/17/2018 06:59:05 PM,MARKET ST/DIAMOND ST,San Francisco,94114,B05,06,5415,B,3,3,false,Fire,1,PRIVATE,2,5,8,Castro/Upper Market
Vehicle Fire,02/17/2018,02/17/2018,02/17/2018 04:51:07 PM,02/17/2018 04:51:07 PM,02/17/2018 04:51:37 PM,02/17/2018 04:52:28 PM,02/17/2018 04:54:37 PM,,,Code 2 Transport,02/17/2018 05:15:05 PM,MARKET ST/DIAMOND ST,San Francisco,94114,B05,06,5415,B,3,3,true,Fire,1,ENGINE,1,5,8,Castro/Upper Market
Watercraft in Distress,11/23/2018,11/23/2018,11/23/2018 02:33:21 PM,11/23/2018 02:35:08 PM,11/23/2018 02:38:07 PM,11/23/2018 02:38:21 PM,11/23/2018 02:43:31 PM,,,Patient Declined Transport,11/23/2018 03:46:11 PM,0 Block of THE EMBARCADERO,San Francisco,94107,B03,35,0902,3,3,3,true,Fire,1,MEDIC,5,3,6,Financial District/South Beach
Watercraft in Distress,11/23/2018,11/23/2018,11/23/2018 02:33:21 PM,11/23/2018 02:35:08 PM,11/23/2018 02:35:29 PM,11/23/2018 02:37:21 PM,11/23/2018 02:42:40 PM,,,Patient Declined Transport,11/23/2018 03:10:06 PM,0 Block of THE EMBARCADERO,San Francisco,94107,B03,35,0902,3,3,3,false,Fire,1,CHIEF,4,3,6,Financial District/South Beach
Watercraft in Distress,11/23/2018,11/23/2018,11/23/2018 02:33:21 PM,11/23/2018 02:35:08 PM,11/23/2018 02:35:29 PM,11/23/2018 02:36:52 PM,11/23/2018 02:39:37 PM,,,Patient Declined Transport,11/23/2018 03:16:17 PM,0 Block of THE EMBARCADERO,San Francisco,94107,B03,35,0902,3,3,3,true,Fire,1,ENGINE,2,3,6,Financial District/South Beach
Watercraft in Distress,11/23/2018,11/23/2018,11/23/2018 02:33:21 PM,11/23/2018 02:35:08 PM,11/23/2018 02:35:29 PM,11/23/2018 02:37:43 PM,,,,Patient Declined Transport,11/23/2018 03:14:56 PM,0 Block of THE EMBARCADERO,San Francisco,94107,B03,35,0902,3,3,3,true,Fire,1,ENGINE,6,3,6,Financial District/South Beach
Watercraft in Distress,11/23/2018,11/23/2018,11/23/2018 02:33:21 PM,11/23/2018 02:35:08 PM,11/23/2018 02:35:29 PM,11/23/2018 02:37:43 PM,,,,Patient Declined Transport,11/23/2018 03:14:48 PM,0 Block of THE EMBARCADERO,San Francisco,94107,B03,35,0902,3,3,3,false,Fire,1,SUPPORT,7,3,6,Financial District/South Beach
Watercraft in Distress,11/23/2018,11/23/2018,11/23/2018 02:33:21 PM,11/23/2018 02:35:08 PM,11/23/2018 02:37:30 PM,11/23/2018 02:37:30 PM,11/23/2018 02:38:19 PM,,,Patient Declined Transport,11/23/2018 03:13:11 PM,0 Block of THE EMBARCADERO,San Francisco,94107,B03,35,0902,3,3,3,true,Fire,1,RESCUE CAPTAIN,1,3,6,Financial District/South Beach
Watercraft in Distress,11/23/2018,11/23/2018,11/23/2018 02:33:21 PM,11/23/2018 02:35:08 PM,11/23/2018 02:37:23 PM,11/23/2018 02:37:23 PM,,,,Patient Declined Transport,11/23/2018 03:03:20 PM,0 Block of THE EMBARCADERO,San Francisco,94107,B03,35,0902,3,3,3,false,Fire,1,RESCUE SQUAD,8,3,6,Financial District/South Beach
Watercraft in Distress,11/23/2018,11/23/2018,11/23/2018 02:33:21 PM,11/23/2018 02:35:08 PM,11/23/2018 02:35:29 PM,11/23/2018 02:36:37 PM,11/23/2018 02:40:05 PM,,,Patient Declined Transport,11/23/2018 03:09:58 PM,0 Block of THE EMBARCADERO,San Francisco,94107,B03,35,0902,3,3,3,false,Fire,1,TRUCK,3,3,6,Financial District/South Beach
Structure Fire,11/23/2018,11/23/2018,11/23/2018 05:53:20 PM,11/23/2018 05:54:54 PM,11/23/2018 06:05:17 PM,11/23/2018 06:05:26 PM,11/23/2018 06:14:33 PM,11/23/2018 07:01:49 PM,11/23/2018 07:20:29 PM,Code 2 Transport,11/23/2018 07:41:21 PM,1200 Block of TURK ST,San Francisco,94115,B02,05,3426,3,3,3,true,Fire,1,MEDIC,9,2,5,Western Addition
Structure Fire,11/23/2018,11/23/2018,11/23/2018 05:53:20 PM,11/23/2018 05:54:54 PM,11/23/2018 06:34:50 PM,11/23/2018 06:55:29 PM,11/23/2018 06:55:29 PM,,,Code 2 Transport,11/23/2018 07:41:03 PM,1200 Block of TURK ST,San Francisco,94115,B02,05,3426,3,3,3,false,Fire,1,INVESTIGATION,13,2,5,Western Addition
Structure Fire,11/23/2018,11/23/2018,11/23/2018 05:53:20 PM,11/23/2018 05:54:54 PM,11/23/2018 06:05:17 PM,11/23/2018 06:05:22 PM,11/23/2018 06:10:42 PM,,,Code 2 Transport,11/23/2018 07:08:20 PM,1200 Block of TURK ST,San Francisco,94115,B02,05,3426,3,3,3,false,Fire,1,CHIEF,7,2,5,Western Addition
Structure Fire,11/23/2018,11/23/2018,11/23/2018 05:53:20 PM,11/23/2018 05:54:54 PM,11/23/2018 05:55:06 PM,11/23/2018 05:57:09 PM,11/23/2018 06:00:20 PM,,,Code 2 Transport,11/23/2018 08:32:57 PM,1200 Block of TURK ST,San Francisco,94115,B02,05,3426,3,3,3,false,Fire,1,CHIEF,3,2,5,Western Addition
Structure Fire,11/23/2018,11/23/2018,11/23/2018 05:53:20 PM,11/23/2018 05:54:54 PM,11/23/2018 06:05:17 PM,11/23/2018 06:05:48 PM,11/23/2018 06:08:34 PM,,,Code 2 Transport,11/23/2018 07:35:45 PM,1200 Block of TURK ST,San Francisco,94115,B02,05,3426,3,3,3,false,Fire,1,CHIEF,4,2,5,Western Addition
Structure Fire,11/23/2018,11/23/2018,11/23/2018 05:53:20 PM,11/23/2018 05:54:54 PM,11/23/2018 06:05:17 PM,11/23/2018 06:05:48 PM,11/23/2018 06:18:07 PM,,,Code 2 Transport,11/23/2018 07:56:42 PM,1200 Block of TURK ST,San Francisco,94115,B02,05,3426,3,3,3,true,Fire,1,ENGINE,10,2,5,Western Addition
Structure Fire,11/23/2018,11/23/2018,11/23/2018 05:53:20 PM,11/23/2018 05:54:54 PM,11/23/2018 06:10:29 PM,11/23/2018 06:12:00 PM,11/23/2018 06:21:29 PM,,,Code 2 Transport,11/23/2018 07:10:31 PM,1200 Block of TURK ST,San Francisco,94115,B02,05,3426,3,3,3,true,Fire,1,ENGINE,12,2,5,Western Addition
Structure Fire,11/23/2018,11/23/2018,11/23/2018 05:53:20 PM,11/23/2018 05:54:54 PM,11/23/2018 06:05:17 PM,11/23/2018 06:06:39 PM,11/23/2018 06:08:53 PM,,,Code 2 Transport,11/23/2018 07:02:18 PM,1200 Block of TURK ST,San Francisco,94115,B02,05,3426,3,3,3,false,Fire,1,ENGINE,5,2,5,Western Addition
Structure Fire,11/23/2018,11/23/2018,11/23/2018 05:53:20 PM,11/23/2018 05:54:54 PM,11/23/2018 05:55:06 PM,11/23/2018 05:56:12 PM,11/23/2018 05:59:51 PM,,,Code 2 Transport,11/23/2018 08:29:52 PM,1200 Block of TURK ST,San Francisco,94115,B02,05,3426,3,3,3,true,Fire,1,ENGINE,2,2,5,Western Addition
Structure Fire,11/23/2018,11/23/2018,11/23/2018 05:53:20 PM,11/23/2018 05:54:54 PM,11/23/2018 06:10:29 PM,11/23/2018 06:12:59 PM,11/23/2018 06:19:19 PM,,,Code 2 Transport,11/23/2018 06:37:06 PM,1200 Block of TURK ST,San Francisco,94115,B02,05,3426,3,3,3,true,Fire,1,RESCUE CAPTAIN,11,2,5,Western Addition
Structure Fire,11/23/2018,11/23/2018,11/23/2018 05:53:20 PM,11/23/2018 05:54:54 PM,11/23/2018 06:05:17 PM,11/23/2018 06:06:52 PM,11/23/2018 06:12:23 PM,,,Code 2 Transport,11/23/2018 06:50:25 PM,1200 Block of TURK ST,San Francisco,94115,B02,05,3426,3,3,3,false,Fire,1,RESCUE SQUAD,8,2,5,Western Addition
Structure Fire,11/23/2018,11/23/2018,11/23/2018 05:53:20 PM,11/23/2018 05:54:54 PM,11/23/2018 06:05:17 PM,11/23/2018 06:06:18 PM,11/23/2018 06:10:23 PM,,,Code 2 Transport,11/23/2018 07:28:12 PM,1200 Block of TURK ST,San Francisco,94115,B02,05,3426,3,3,3,false,Fire,1,TRUCK,6,2,5,Western Addition
Structure Fire,11/23/2018,11/23/2018,11/23/2018 05:53:20 PM,11/23/2018 05:54:54 PM,11/23/2018 05:55:06 PM,11/23/2018 05:55:15 PM,11/23/2018 05:57:18 PM,,,Code 2 Transport,11/23/2018 09:43:46 PM,1200 Block of TURK ST,San Francisco,94115,B02,05,3426,3,3,3,true,Fire,1,TRUCK,1,2,5,Western Addition
Outside Fire,11/23/2018,11/23/2018,11/23/2018 08:59:42 PM,11/23/2018 09:01:01 PM,11/23/2018 09:01:09 PM,,,,,Fire,11/23/2018 09:02:05 PM,CORTLAND AV/BAYSHORE BL,San Francisco,94124,B10,42,6374,3,3,3,true,Fire,1,ENGINE,2,10,10,Bayview Hunters Point
Outside Fire,11/23/2018,11/23/2018,11/23/2018 08:59:42 PM,11/23/2018 09:01:01 PM,11/23/2018 09:02:18 PM,11/23/2018 09:02:18 PM,11/23/2018 09:06:26 PM,,,Fire,11/23/2018 09:16:23 PM,CORTLAND AV/BAYSHORE BL,San Francisco,94124,B10,42,6374,3,3,3,true,Fire,1,ENGINE,1,10,10,Bayview Hunters Point
Outside Fire,09/07/2018,09/06/2018,09/07/2018 02:15:45 AM,09/07/2018 02:17:08 AM,09/07/2018 02:17:30 AM,09/07/2018 02:19:34 AM,09/07/2018 02:28:32 AM,,,Fire,09/07/2018 02:42:33 AM,5200 Block of 3RD ST,San Francisco,94124,B10,17,6514,3,3,3,true,Fire,1,ENGINE,1,10,10,Bayview Hunters Point
Outside Fire,02/21/2018,02/21/2018,02/21/2018 10:54:49 PM,02/21/2018 10:55:41 PM,02/21/2018 10:56:04 PM,02/21/2018 10:56:32 PM,,,,Fire,02/21/2018 11:04:18 PM,POLK ST/GEARY ST,San Francisco,94109,B04,03,3116,3,3,3,true,Fire,1,ENGINE,1,4,6,Tenderloin
Outside Fire,02/23/2018,02/22/2018,02/23/2018 06:30:11 AM,02/23/2018 06:31:27 AM,02/23/2018 06:31:38 AM,02/23/2018 06:33:22 AM,02/23/2018 06:34:38 AM,,,Fire,02/23/2018 06:39:34 AM,17TH ST/SHOTWELL ST,San Francisco,94110,B02,07,5246,3,3,3,true,Fire,1,ENGINE,1,2,9,Mission
Outside Fire,09/25/2018,09/25/2018,09/25/2018 10:29:23 PM,09/25/2018 10:30:31 PM,09/25/2018 10:30:54 PM,09/25/2018 10:32:45 PM,,,,Fire,09/25/2018 10:37:20 PM,1300 Block of YOSEMITE AVE,San Francisco,94124,B10,17,6546,3,3,3,false,Fire,1,CHIEF,3,10,10,Bayview Hunters Point
Outside Fire,09/25/2018,09/25/2018,09/25/2018 10:29:23 PM,09/25/2018 10:30:31 PM,09/25/2018 10:30:54 PM,09/25/2018 10:32:19 PM,09/25/2018 10:34:14 PM,,,Fire,09/25/2018 10:39:58 PM,1300 Block of YOSEMITE AVE,San Francisco,94124,B10,17,6546,3,3,3,true,Fire,1,ENGINE,1,10,10,Bayview Hunters Point
Outside Fire,02/18/2018,02/17/2018,02/18/2018 01:17:34 AM,02/18/2018 01:19:06 AM,02/18/2018 01:19:12 AM,02/18/2018 01:21:32 AM,02/18/2018 01:25:09 AM,,,Fire,02/18/2018 01:27:47 AM,NORFOLK ST/FOLSOM ST,San Francisco,94103,B02,36,5121,3,3,3,true,Fire,1,ENGINE,1,2,6,Mission
"Extrication / Entrapped (Machinery, Vehicle)",02/18/2018,02/17/2018,02/18/2018 02:53:53 AM,02/18/2018 02:55:50 AM,02/18/2018 02:58:59 AM,02/18/2018 02:58:59 AM,02/18/2018 03:03:38 AM,,,Patient Declined Transport,02/18/2018 03:11:04 AM,MISSION ST/8TH ST,San Francisco,94103,B02,01,2318,3,3,3,true,Fire,1,MEDIC,2,2,6,South of Market
